AQI Bucket,City,Date,AQI,Benzene,CO,N Ox,NH3,NO,NO2,O3,Pm10,Pm2.5,SO2,Toluene,Xylene
,Ahmedabad,01-01-2015,,0,0.92,17.15,,0.92,18.22,133.36,,,27.64,0.02,0
,Ahmedabad,02-01-2015,,3.68,0.97,16.46,,0.97,15.69,34.06,,,24.55,5.5,3.77
,Ahmedabad,03-01-2015,,6.8,17.4,29.7,,17.4,19.3,30.7,,,29.07,16.4,2.25
,Ahmedabad,04-01-2015,,4.43,1.7,17.97,,1.7,18.48,36.08,,,18.59,10.14,1
,Ahmedabad,05-01-2015,,7.01,22.1,37.76,,22.1,21.42,39.31,,,39.33,18.89,2.78
,Ahmedabad,06-01-2015,,5.42,45.41,81.5,,45.41,38.48,46.51,,,45.76,10.83,1.93
,Ahmedabad,07-01-2015,,0,112.16,130.77,,112.16,40.62,33.47,,,32.28,0,0
,Ahmedabad,08-01-2015,,0,80.87,96.75,,80.87,36.74,31.89,,,38.54,0,0
,Ahmedabad,09-01-2015,,0,29.16,48,,29.16,31,25.75,,,58.68,0,0
,Ahmedabad,10-01-2015,,0,,0,,,7.04,4.55,,,8.29,0,0
,Ahmedabad,11-01-2015,,0,132.07,24.53,,132.07,55.8,6.79,,,25.03,0,0
,Ahmedabad,12-01-2015,,2.41,52.04,90.24,,52.04,40.67,45.89,,,51.84,0.03,7.88
,Ahmedabad,13-01-2015,,9.45,48.82,87.09,,48.82,44.2,35.16,,,68.21,13.35,12.5
,Ahmedabad,14-01-2015,,2.16,19.2,33.05,,19.2,27.86,20.96,,,52.65,2.26,5.19
,Ahmedabad,15-01-2015,,0.14,0.6,16.6,,0.6,16.96,47.63,,,28.89,0.04,1.35
,Ahmedabad,16-01-2015,,0.35,1.63,22.86,,1.63,21.72,46.03,,,38.27,0.05,2.01
,Ahmedabad,17-01-2015,,0.68,11.44,34.75,,11.44,24.73,52.24,,,49.5,0,3.27
,Ahmedabad,18-01-2015,,0.74,6.1,29.57,,6.1,25.77,53.49,,,48.43,0.21,2.75
,Ahmedabad,19-01-2015,,0.26,2.51,27.45,,2.51,26.88,49.48,,,50.03,0.02,2.8
,Ahmedabad,20-01-2015,,0.24,7.92,32.4,,7.92,26.8,56.37,,,58.87,0.01,3.97
,Ahmedabad,21-01-2015,,0.33,9.52,39.28,,9.52,33.56,48.75,,,106.93,0,5.65
,Ahmedabad,22-01-2015,,0,9.05,22.33,,9.05,17.51,42.22,,,23.71,0,4.51
,Ahmedabad,23-01-2015,,0.39,22.53,47.79,,22.53,27.96,32.92,,,39.19,0,5.95
,Ahmedabad,24-01-2015,,0.47,2.03,21.4,,2.03,20.39,32.49,,,40.07,0.7,1.54
,Ahmedabad,25-01-2015,,0.01,1.42,20.19,,1.42,20.43,39.26,,,58.41,0,0.94
,Ahmedabad,26-01-2015,,0.06,2.27,21.81,,2.27,21.16,39.83,,,43.73,0,1.55
,Ahmedabad,27-01-2015,,0.02,2.19,23.26,,2.19,21.7,41.1,,,43.28,0,1.65
,Ahmedabad,28-01-2015,,0.03,5.72,25.84,,5.72,21.11,62.42,,73.24,36.52,0.01,1.41
