Age Group,Ever Married,Gender,Graduated,ID,Martial Status,Profession,Spending Level,Spending Score,Age,Family Size,Work Experience
Young Adult,No,Female,Yes,461569,Single,Artist,Low Spender,Low,26,1,14
Young Adult,No,Male,No,467532,Single,Healthcare,Low Spender,Low,27,4,1
Middle-Aged,No,Female,Yes,464358,Single,Artist,Low Spender,Low,47,1,0
Senior,Yes,Female,Yes,465305,Married,Lawyer,Top Spender,High,78,2,
Middle-Aged,No,Female,No,463868,Single,Entertainment,Low Spender,Low,39,1,1
Middle-Aged,No,Female,,460150,Single,Marketing,Low Spender,Low,37,1,
Middle-Aged,No,Female,Yes,465599,Single,Artist,Low Spender,Low,41,1,
Senior,Yes,Female,No,463404,Married,Engineer,Low Spender,Average,60,5,5
Young Adult,No,Female,Yes,462199,Single,Healthcare,Low Spender,Low,26,2,
Middle-Aged,No,Female,Yes,460765,Single,Homemaker,Low Spender,Low,32,,8
Middle-Aged,Yes,Male,Yes,467640,Married,Artist,Low Spender,Low,49,4,2
Middle-Aged,Yes,Male,Yes,464822,Married,Entertainment,Low Spender,Average,35,3,0
Middle-Aged,No,Male,Yes,464959,Single,Entertainment,Low Spender,Low,38,3,0
Young Adult,No,Male,No,465626,Single,Healthcare,Low Spender,Low,27,4,1
Senior,Yes,Male,No,461595,Married,Executive,Top Spender,High,61,4,
Senior,Yes,Male,Yes,465327,Married,Artist,Low Spender,Low,76,1,1
Senior,Yes,Male,No,464331,Married,Executive,Top Spender,High,68,2,1
Middle-Aged,Yes,Female,No,464844,Married,Artist,Low Spender,Average,31,2,8
Young Adult,No,Male,Yes,459834,Single,Healthcare,Low Spender,Low,21,2,
Middle-Aged,Yes,Male,Yes,463261,Married,Artist,Low Spender,Average,40,4,
Senior,Yes,Female,No,462476,Married,Lawyer,Low Spender,Low,83,1,0
Middle-Aged,No,Female,Yes,461287,Single,Artist,Low Spender,Low,41,2,1
Middle-Aged,Yes,Male,Yes,464580,Married,Executive,Low Spender,Average,42,2,0
Senior,No,Female,,461659,Single,Artist,Low Spender,Low,82,1,3
Middle-Aged,No,Female,No,464088,Single,Doctor,Low Spender,Low,33,3,0
Middle-Aged,Yes,Female,Yes,461935,Married,Artist,Low Spender,Average,32,2,9
Senior,No,Female,Yes,465344,Single,Lawyer,Low Spender,Low,77,2,0
Middle-Aged,Yes,Male,Yes,459544,Married,Artist,Low Spender,Average,37,2,
Senior,Yes,Male,No,465432,Married,Lawyer,Low Spender,Low,75,1,
Middle-Aged,No,Male,Yes,467461,Single,Healthcare,Low Spender,Low,31,5,11
Middle-Aged,No,Male,No,460240,Single,Healthcare,Low Spender,Low,33,4,6
Senior,Yes,Male,Yes,461395,Married,Engineer,Low Spender,Average,51,4,1
Middle-Aged,Yes,Male,No,465391,Married,Artist,Top Spender,High,49,4,0
Middle-Aged,Yes,Male,,462796,Married,Executive,Top Spender,High,32,7,4
Young Adult,No,Male,No,462036,Single,Healthcare,Low Spender,Low,19,3,1
Middle-Aged,No,Female,Yes,462616,Single,Engineer,Low Spender,Low,45,3,0
Senior,Yes,Male,Yes,467910,Married,Executive,Low Spender,Average,65,2,0
Middle-Aged,No,Female,Yes,464940,Single,Marketing,Low Spender,Low,37,,1
Middle-Aged,Yes,Male,Yes,462951,Married,Artist,Low Spender,Low,43,1,8
Senior,No,Female,No,466148,Single,Artist,Low Spender,Low,59,1,0
Young Adult,Yes,Male,Yes,463361,Married,Doctor,Low Spender,Low,29,2,1
Young Adult,No,Female,No,463224,Single,Homemaker,Low Spender,Low,28,2,10
