District code,District name,State name,Age Group 0 29,Age Group 30 49,Age Group 50,Age not stated,Agricultural Workers,Below Primary Education,Buddhists,Christians,Condition of occupied census houses Dilapidated Households,Cultivator Workers,Female,Female Literate,Female SC,Female ST,Female Workers,Graduate Education,Having bathing facility Total Households,Having latrine facility within the premises Total Households,Higher Education,Hindus,Household size 1 person Households,Household size 1 to 2 persons,Household size 2 persons Households,Household size 3 persons Households,Household size 3 to 5 persons Households,Household size 4 persons Households,Household size 5 persons Households,Household size 6 8 persons Households,Household size 9 persons and above Households,Household Workers,Households,Households with Bicycle,Households with Car Jeep Van,Households with Computer,Households with Internet,Households with Radio Transistor,Households with Scooter Motorcycle Moped,Households with separate kitchen Cooking inside house,Households with Telephone Mobile Phone,Households with Telephone Mobile Phone Both,Households with Telephone Mobile Phone Landline only,Households with Telephone Mobile Phone Mobile only,Households with Television,Households with TV Computer Laptop Telephone mobile phone and Scooter Car,Housholds with Electric Lighting,Illiterate Education,Jains,Literate,Literate Education,Location of drinking water source Away Households,Location of drinking water source Near the premises Households,Location of drinking water source Within the premises Households,LPG or PNG Households,Main source of drinking water Handpump Tubewell Borewell Households,Main source of drinking water Other sources Households,Main source of drinking water River Canal Households,Main source of drinking water Spring Households,Main source of drinking water Tank Pond Lake Households,Main source of drinking water Tapwater Households,Main source of drinking water Tubewell Borehole Households,Main source of drinking water Un covered well Households,Main Workers,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Male,Male Literate,Male SC,Male ST,Male Workers,Marginal Workers,Married couples 1 Households,Married couples 2 Households,Married couples 3 Households,Married couples 3 or more Households,Married couples 4 Households,Married couples None Households,Married_couples_5__Households,Middle Education,Muslims,Non Workers,Not having bathing facility within the premises Total Households,Not having latrine facility within the premises Alternative source Open Households,Other Education,Other Workers,Others Religions,Ownership Owned Households,Ownership Rented Households,Population,Power Parity Above Rs 545000,Power Parity Less than Rs 45000,Power Parity Rs 150000 240000,Power Parity Rs 150000 330000,Power Parity Rs 240000 330000,Power Parity Rs 330000 425000,Power Parity Rs 330000 545000,Power Parity Rs 425000 545000,Power Parity Rs 45000 150000,Power Parity Rs 45000 90000,Power Parity Rs 90000 150000,Primary Education,Religion Not Stated,Rural Households,SC,Secondary Education,Sikhs,ST,Total Education,Total Power Parity,Type of bathing facility Enclosure without roof Households,Type of fuel used for cooking Any other Households,Type of latrine facility Flush pour flush latrine connected to other system Households,Type of latrine facility Night soil disposed into open drain Households,Type of latrine facility Other latrine Households,Type of latrine facility Pit latrine Households,Urban Households,Workers
1,Kupwara,JAMMU AND KASHMIR,600759,178435,89679,1481,56759,60616,66,1700,8463,34680,396164,156831,2,33439,38165,21751,66361,54335,39709,37128,911,4947,4036,6396,31982,10700,14886,42727,27121,7946,181664,3019,2988,5256,762,59480,1808,104172,56495,1613,1445,53437,26828,495,83071,289765,39,439654,405015,46181,37849,22747,15828,5030,6597,24776,1902,1607,50339,2066,11127,123837,34882,474190,282823,1046,36913,190899,105227,80569,14618,2218,2622,330,8968,74,99947,823286,641290,40416,44123,6402,129679,13,104807,618,870354,15,259,71,172,101,74,84,10,588,494,94,101642,2522,158438,1048,74948,5600,70352,694780,1119,3667,167,10919,2269,21902,9791,23226,229064
2,Badgam,JAMMU AND KASHMIR,503223,160933,88978,611,36630,68336,47,1489,3733,55299,355704,127908,25,11529,52288,27950,83385,83615,41367,10110,845,3018,2173,3743,23640,7998,11899,59121,13440,29102,187839,10013,5091,5892,1999,66814,5848,88806,72197,3905,2509,65783,54170,1655,90190,342646,6,335649,374972,14303,33558,51358,15118,9864,1052,13064,453,136,73303,2321,699,132003,14705,398041,207741,343,12383,162578,82863,71441,15255,2962,3493,452,9030,79,83141,736054,538879,15834,10642,6857,93835,2,98036,609,753745,18,201,72,161,89,96,124,28,562,436,126,80862,478,160649,368,66459,5559,23912,717618,1066,3959,971,9208,1779,43953,7013,27190,214866
3,Leh(Ladakh),JAMMU AND KASHMIR,70703,41515,21019,250,1645,10452,88635,658,371,20869,54516,30936,44,48314,21814,6197,10304,18780,8923,22882,1630,3113,1483,2302,10528,4422,3804,5378,1758,1020,54394,609,4271,2150,574,15210,1289,20134,13836,4859,2646,6331,13597,971,17250,32637,103,93770,75493,6784,10962,3031,13645,5991,1565,6115,620,55,6254,135,64,57125,8355,78971,62834,444,47543,53265,17954,12742,3492,716,835,87,3708,32,17900,19057,58408,10473,1781,575,51545,54,19387,893,133487,17,33,15,37,22,20,34,14,122,76,46,15181,1006,36920,488,16265,1092,95857,108130,242,920,1,695,53,2117,14980,17474,75079
4,Kargil,JAMMU AND KASHMIR,87532,35561,17488,221,3763,12732,20126,604,575,8266,63017,29935,6,59684,12034,3077,11887,17649,9826,10341,689,1523,834,983,4991,1652,2356,6832,4866,1222,48144,488,1847,1005,235,10895,652,17751,10562,1930,899,7733,8008,249,15824,39854,28,86236,82938,7031,9218,1963,3285,3289,907,2641,323,197,10769,19,1,28941,4068,77785,56301,12,62652,39839,22932,10366,3835,1252,1643,308,2368,83,20874,108239,88929,6325,482,408,38622,4,16646,1419,140802,7,39,12,30,18,19,22,3,114,87,27,19083,289,40370,18,16938,1171,122336,122792,214,330,376,9610,37,4732,1704,7774,51873
5,Punch,JAMMU AND KASHMIR,304979,109818,61334,704,31583,55762,83,958,2047,54264,224936,98391,150,85827,43716,13962,19789,16586,29517,32604,1531,8966,7435,10664,44517,15825,18028,31443,3952,3930,147408,846,1731,3342,346,37412,2407,78572,36358,2677,1908,31773,16022,276,62900,164044,10,261724,288430,38654,33146,17078,13160,4036,5351,1351,12448,308,43697,234,17702,73247,19458,251899,163333,406,90274,117677,88146,70995,9180,1148,1250,87,7453,15,69219,431279,315442,69089,70470,1884,71616,2,87711,762,476835,12,117,35,85,50,59,67,8,346,268,78,72024,711,132139,556,46062,11188,176101,452474,629,3421,28,1174,338,971,532,15269,161393
6,Rajouri,JAMMU AND KASHMIR,404903,153165,83319,1028,24016,70996,189,983,3254,136527,297064,139640,22987,111441,106160,18576,22470,17778,35804,221880,2107,14884,12777,18069,70033,25803,26161,35702,3381,4656,213578,2203,3128,6219,673,48002,7261,88623,65569,3017,2542,60010,34209,902,96012,242306,26,364109,394977,64169,40993,18838,23946,6716,9574,2171,37100,458,39628,269,17991,130377,49303,345351,224469,25170,121374,184752,160535,103780,8246,710,781,55,11193,16,108785,402879,351503,101530,104506,3036,125713,3,121447,1669,642415,15,135,42,100,58,72,94,22,443,323,120,91859,942,196070,48157,65921,15513,232815,637283,786,4487,29,1259,864,1119,762,17508,290912
7,Kathua,JAMMU AND KASHMIR,357864,160123,97684,764,21566,69396,24,1828,4036,69533,290326,160705,66580,25614,38883,24330,47372,26033,47694,540063,2476,9870,7394,12854,67133,26670,27609,33057,7776,3952,214847,17726,4687,6112,1443,26172,23014,94279,88964,7679,3065,78220,66944,2732,109422,181297,16,389204,426572,29223,36594,52019,32772,31020,5595,860,8978,771,61227,3438,8616,142847,16204,326109,228499,74644,27693,161548,57584,87230,15954,3596,4489,752,10163,141,106411,64234,416004,70464,90118,4504,105380,2,114949,2179,616435,28,139,54,123,69,78,130,52,514,340,174,82715,717,181374,141224,91522,9551,53307,607869,936,18841,20,1615,729,936,1994,33473,200431
8,Baramula,JAMMU AND KASHMIR,636524,239659,130513,1343,62246,76778,140,1497,7656,57495,473306,207979,25,17468,54619,48285,121099,113281,57932,30621,1683,7489,5806,10413,55314,18929,25972,60195,22992,15084,259475,13361,10075,10645,3698,89719,8145,138439,107269,5337,4675,97257,75137,3269,138180,350119,29,545149,555050,26880,40787,78323,33022,4718,2618,14344,2185,1167,113894,1556,2813,187959,20314,534733,337170,1451,20237,249581,116241,104921,23218,4740,5655,746,12196,169,137510,959185,703839,24891,28142,9708,169375,7,144033,1100,1008039,64,387,155,345,190,177,255,78,1049,795,254,117000,1790,210543,1476,107837,14770,37705,905169,2100,4892,659,13912,4803,45955,12600,48932,304200
9,Bandipore,JAMMU AND KASHMIR,252378,90465,48802,587,32882,34064,44,572,3922,28232,184552,68921,17,35976,47937,12721,43923,42035,18644,8439,546,2565,2019,3938,20321,6910,9473,24079,9829,20484,98076,5645,2237,3155,985,36389,2284,52461,34528,1419,1853,31256,25399,585,45469,163648,17,185979,199416,20368,18295,18131,8868,2486,3000,11725,2679,1244,33973,839,723,75173,18648,207680,117058,375,39398,101380,74144,40502,8908,1834,2272,371,5112,67,48849,382006,242915,12871,13219,2268,67719,2,55995,338,392232,0,6,2,4,2,3,6,3,29,18,11,47240,597,80521,392,35630,555,75374,363064,45,2029,72,4992,1625,22164,5903,17555,149317
10,Srinagar,JAMMU AND KASHMIR,693238,351561,190330,1700,10408,88911,285,2746,3715,12228,585705,316838,73,3914,74037,121856,164263,164002,132727,42540,2326,8952,6626,15425,94928,37998,41505,49622,13946,20095,262239,44501,34586,33831,16413,129337,39804,164293,157875,24605,12717,120553,152945,22024,165403,310225,74,748584,904049,2815,7457,157176,138119,1563,317,669,55,64,164426,692,38,330547,1105,651124,431746,995,5021,333151,76641,117581,23234,6314,7640,1075,18993,251,178723,1177342,829641,3185,2448,32114,364457,2,160923,5135,1236829,445,251,319,699,380,240,610,370,1095,427,668,173309,1653,4518,1068,176409,12187,8935,1214274,3099,2302,83,8101,33799,39455,4430,257721,407188
